width,element_id,n1,n2,family,mean_tension_per_rope_kn,sigma_per_rope_kn,peak_mean_plus_3p5sigma_kn,capacity_ratio_to_break
L,1213,1213,1214,gantry_rope,542.3423120656538,15.848628078126957,597.8125103390981,
L,1214,1214,1215,gantry_rope,542.5111017409644,15.853616680199954,597.9987601216642,
L,1215,1215,1216,gantry_rope,542.6931926213337,15.858943162778521,598.1994936910585,
L,1216,1216,1217,gantry_rope,542.8785597310853,15.864263314698752,598.4034813325309,
L,1217,1217,1218,gantry_rope,543.055523164106,15.869229116351967,598.5978250713379,
L,1218,1218,1219,gantry_rope,543.8269948208954,15.89092019905066,599.4452155175727,
L,1219,1219,1220,gantry_rope,544.0535892771766,15.89718059100593,599.6937213456973,
L,1220,1220,1221,gantry_rope,544.2733855235958,15.903147150252906,599.934400549481,
L,1221,1221,1222,gantry_rope,544.498108644405,15.909085807544182,600.1799089708096,
L,1222,1222,1223,gantry_rope,544.7344745123868,15.915262268120546,600.4378924508087,
L,1223,1223,1224,gantry_rope,545.537561423709,15.943785538166166,601.3408108072906,
L,1224,1224,1225,gantry_rope,545.7887873182959,15.950134360969079,601.6142575816878,
L,1225,1225,1226,gantry_rope,546.0331913541219,15.956161243572438,601.8797557066254,
L,1226,1226,1227,gantry_rope,546.280826176577,15.962136554206742,602.1483041163006,
L,1227,1227,1228,gantry_rope,546.5433970508883,15.968326190106358,602.4325387162605,
L,1228,1228,1229,gantry_rope,547.307402268329,15.995072997291519,603.2901577588493,
L,1229,1229,1230,gantry_rope,547.5029917566964,15.999571395245422,603.5014916400553,
L,1230,1230,1231,gantry_rope,547.8505470262137,16.00733843072446,603.8762315337493,
L,1231,1231,1232,gantry_rope,548.2029628322692,16.014982953716775,604.255403170278,
L,1232,1232,1233,gantry_rope,548.5318767348653,16.021883128373133,604.6084676841713,
L,1233,1233,1234,gantry_rope,549.6119408346749,16.04383703887493,605.7653704707371,
L,1234,1234,1235,gantry_rope,549.9170301109249,16.049837082694953,606.0914599003572,
L,1235,1235,1236,gantry_rope,550.2119820926214,16.05548498815323,606.4061795511577,
L,1236,1236,1237,gantry_rope,550.5118661690435,16.061037118807217,606.7254960848687,
L,1237,1237,1238,gantry_rope,550.8267433764238,16.066737281956478,607.0603238632715,
L,1238,1238,1239,gantry_rope,551.8800475580039,16.09687816524391,608.2191211363576,
L,1239,1239,1240,gantry_rope,552.2115136213096,16.10245624532157,608.570110479935,
