mode,frequency_hz,family,span_parity,provisional_label,symmetry_correlation,mass_energy_x_fraction,mass_energy_y_fraction,mass_energy_z_fraction,signal_L,signal_V,signal_T,signal_X,main_span_signal_fraction,half_wave_order,template_mac,sequence_label,half_wave_fingerprint,label
63,0.34751881917534044,EDGE,S,EDGES,0.4021475992867051,0.06641115781338569,0.2680094770133676,0.6655793651732467,7.888673326852164e-16,5.742159773244634e-16,5.168527872238224e-16,1.0888387701944197e-16,2.887841349745011e-06,0,0.0,EDGES15,EDGES15,EDGES15
64,0.34866824746794167,EDGE,A,EDGEA,-0.9798261726479303,1.2113107161566214e-11,0.9999999998768377,1.1104912068408123e-10,5.17257869937446e-16,1.3174950719443067e-16,1.765881583636191e-16,2.674858315098817e-17,1.0430187943249928e-08,0,0.0,EDGEA12,EDGEA12,EDGEA12
65,0.35057139533655673,EDGE,A,EDGEA,-0.33541708373692586,0.005063562163055991,0.9201985020360339,0.07473793580091001,2.8317121432600183e-16,3.792757124945194e-16,2.981635034351276e-16,7.833958866259838e-17,3.4330072623729697e-14,0,0.0,EDGEA13,EDGEA13,EDGEA13
66,0.3596829122728897,L,S,LS,0.9880947326566557,0.0015382197789820956,0.9742417735994008,0.024220006621617184,0.006495819389103396,2.352581076333752e-12,0.0018422794406766228,5.29784096972668e-13,1.0000000000000002,5,0.8751657106490309,LS11,LS3,LS11
67,0.3646777362315766,L,A,LA,-0.9727365634812817,3.3872185718267584e-05,0.9991201227505218,0.0008460050637598885,0.011161694385780633,6.162676699994547e-13,0.0003363233986187267,1.346700220856522e-13,1.0,10,0.9829479876248935,LA10,LA5,LA10
68,0.36684268023323374,T,A,TA,-0.9721431454210211,0.04918054475139952,0.03132142909297378,0.9194980261556267,0.0014829703624012328,6.572651454773121e-10,0.010967213139289144,1.4981646117223381e-10,0.9999999999999997,10,0.9776291984557628,TA5,TA5,TA5
69,0.3669280862880751,V,A,VA,-0.9720963772176431,0.05104373502902664,4.618891941695381e-13,0.9489562649705114,8.727560958384923e-11,0.011141104813846595,6.469591228325661e-10,0.002539491192850872,0.9999999999999996,10,0.9774836521036648,VA5,VA5,VA5
70,0.3670626226719291,EDGE,A,EDGEA,-0.9694265347295092,9.273409996100897e-12,0.9999999999443936,4.633299332343403e-11,4.117576341317032e-15,3.367807582917513e-14,4.18988591736242e-14,7.684953014514118e-15,1.3584809088583653e-07,0,0.0,EDGEA14,EDGEA14,EDGEA14
71,0.3692776469020147,EDGE,A,EDGEA,-0.8278856967134317,0.02208962663968907,0.8649048415704204,0.11300553178989067,2.2663986417714106e-16,5.76532634172755e-16,1.348616227479811e-15,1.3481842224686322e-16,1.5810795938966352e-14,0,0.0,EDGEA15,EDGEA15,EDGEA15
72,0.3710198058810734,EDGE,A,EDGEA,-0.7514735480617544,0.0021463964729682657,0.9771223866051819,0.020731216921849843,2.270798216173906e-16,6.363725354859268e-16,1.2682263222277629e-15,1.4931507810249498e-16,2.7687054910400402e-14,0,0.0,EDGEA16,EDGEA16,EDGEA16
73,0.37134912976018236,EDGE,A,EDGEA,-0.8676484449765055,0.16239273158479797,1.6092421849068146e-12,0.8376072684135928,2.5443818030680007e-16,9.044146905132069e-16,1.0912461611291663e-15,2.1346768931266457e-16,9.294327096631063e-06,0,0.0,EDGEA17,EDGEA17,EDGEA17
74,0.3717690964908011,L,S,LS,0.9825851275606127,2.5594254994361976e-12,0.9999999999554974,4.194317269686396e-11,2.1805192225721688e-08,3.190327113377074e-08,7.471277599993237e-09,6.522205475386832e-09,0.9999999999999954,7,0.9495347426053546,LS12,LS4,LS12
75,0.3718699924838585,EDGE,A,EDGEA,-0.8864099859879867,0.1364138361655383,0.15842883512569486,0.7051573287087669,9.23547994788082e-17,6.322834662039415e-17,5.845863484744746e-17,1.634542481432243e-17,4.778446714896207e-07,0,0.0,EDGEA18,EDGEA18,EDGEA18
76,0.3760774593645843,L,A,LA,-0.9863859079153305,0.001659914103251269,0.9728353037559159,0.025504782140832922,0.0065756991873308175,2.4420015559719718e-12,0.0018969090943623302,5.318700192251292e-13,1.0,6,0.8985999271072048,LA11,LA3,LA11
