local_node_index,q_mm,r_mm,z_mm,role
159,1000.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-23860.000:R=0
160,1000.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-23860.000:R=1500
161,1260.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-23600.000:R=0
162,1260.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-23600.000:R=1500
163,1520.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-23340.000:R=0
164,1520.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-23340.000:R=1500
165,1780.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-23080.000:R=0
166,1780.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-23080.000:R=1500
167,2040.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-22820.000:R=0
168,2040.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-22820.000:R=1500
169,2300.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-22560.000:R=0
170,2300.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-22560.000:R=1500
171,2560.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-22300.000:R=0
172,2560.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-22300.000:R=1500
173,4260.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-20600.000:R=0
174,4260.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-20600.000:R=1500
175,4520.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-20340.000:R=0
176,4520.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-20340.000:R=1500
177,4780.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-20080.000:R=0
178,4780.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-20080.000:R=1500
179,5040.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-19820.000:R=0
180,5040.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-19820.000:R=1500
181,5300.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-19560.000:R=0
182,5300.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-19560.000:R=1500
183,5560.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-19300.000:R=0
184,5560.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-19300.000:R=1500
185,5820.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-19040.000:R=0
186,5820.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-19040.000:R=1500
187,6080.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-18780.000:R=0
188,6080.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=-18780.000:R=1500
189,43640.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=18780.000:R=0
190,43640.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=18780.000:R=1500
191,43900.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=19040.000:R=0
192,43900.000000000000,1500.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=19040.000:R=1500
193,44160.000000000000,0.000000000000,1700.000000000000,DEDICATED_GATE_TOP_CHORD_INTERFACE:CAD_X=19300.000:R=0
