global_index,width,mct_node,x_m,y_m,z_m
1144,R,20,107.90899999999999,21.45,78.5226147718403
1145,R,21,113.90899999999999,21.45,80.5441502074693
1146,R,22,119.90899999999999,21.45,82.5776826833425
1147,R,23,122.90899999999999,21.45,83.59875256091831
1148,R,24,125.90899999999999,21.45,84.62280762927129
1149,R,25,131.909,21.45,86.67962621351741
1150,R,26,137.909,21.45,88.7484605958126
1151,R,27,140.909,21.45,89.78718918633379
1152,R,28,143.909,21.45,90.8289076995905
1153,R,29,146.909,21.45,91.87364997752239
1154,R,30,149.909,21.45,92.9219754268523
1155,R,31,155.909,21.45,95.02807932660751
1156,R,32,158.909,21.45,96.08545099239561
1157,R,33,161.909,21.45,97.1458176540873
1158,R,34,167.909,21.45,99.2752860792374
1159,R,35,173.909,21.45,101.416809840941
1160,R,36,176.909,21.45,102.49189945722101
1161,R,37,179.909,21.45,103.569988964228
1162,R,38,185.909,21.45,105.734916410466
1163,R,39,191.909,21.45,107.911918933382
1164,R,40,194.909,21.45,109.004756073862
1165,R,41,197.909,21.45,110.100598080083
1166,R,42,203.909,21.45,112.301044092026
1167,R,43,209.909,21.45,114.55418645267301
1168,R,44,212.909,21.45,115.68511134719499
1169,R,45,215.909,21.45,116.819052028317
1170,R,46,221.909,21.45,119.095725239478
1171,R,47,227.909,21.45,121.38453761539999
1172,R,48,230.909,21.45,122.533306037651
1173,R,49,233.909,21.45,123.685095474592
1174,R,50,239.909,21.45,125.997480532709
1175,R,51,245.909,21.45,128.322025832051
1176,R,52,248.909,21.45,129.488669352393
1177,R,53,251.909,21.45,130.658339196738
1178,R,54,257.909,21.45,133.006499654316
1179,R,55,260.909,21.45,134.18535382721402
1180,R,56,263.909,21.45,135.367829344034
1181,R,57,266.909,21.45,136.553368746901
1182,R,58,269.909,21.45,137.741939930858
1183,R,59,275.909,21.45,140.127852356282
1184,R,60,281.909,21.45,142.525969314731
1185,R,61,284.909,21.45,143.729448816625
1186,R,62,287.909,21.45,144.93596557648098
1187,R,63,293.909,21.45,147.357786975034
1188,R,64,299.909,21.45,149.79183497079597
1189,R,65,302.909,21.45,151.013287635636
1190,R,66,305.909,21.45,152.237783116622
1191,R,67,311.909,21.45,154.695580004817
1192,R,68,317.909,21.45,157.16562588163
1193,R,69,320.909,21.45,158.406040218208
1194,R,70,323.909,21.45,159.649503311797
1195,R,71,329.909,21.45,162.145254669171
1196,R,72,335.909,21.45,164.65327894086602
1197,R,73,338.909,21.45,165.911735852573
1198,R,74,341.909,21.45,167.173247246657
1199,R,75,347.909,21.45,169.70511370951797
1200,R,76,353.909,21.45,172.249276144226
1201,R,77,356.909,21.45,173.525810187795
1202,R,78,359.909,21.45,174.805404519233
1203,R,79,365.909,21.45,177.37345558094802
1204,R,80,371.909,21.45,179.953825997682
1205,R,81,374.909,21.45,181.24847221642
1206,R,82,377.909,21.45,182.566482181765
1207,R,83,383.909,21.45,185.211404887003
1208,R,84,389.909,21.45,187.868697543614
1209,R,85,392.909,21.45,189.201822669163
1210,R,86,395.909,21.45,190.538026713431
1211,R,87,401.909,21.45,193.219356975323
1212,R,88,407.909,21.45,195.913081589424
1213,R,89,410.909,21.45,197.264431305839
