mode,frequency_hz,family,span_parity,provisional_label,symmetry_correlation,mass_energy_x_fraction,mass_energy_y_fraction,mass_energy_z_fraction,signal_L,signal_V,signal_T,signal_X,main_span_signal_fraction,half_wave_order,template_mac,sequence_label,half_wave_fingerprint,label
48,0.31835271854856334,L,S,LS,0.9929940543743273,0.0017583225450386085,0.9621134194663082,0.03612825798865323,0.006388845203206966,2.3588404233868903e-12,0.002240548402535789,6.275792111315606e-13,1.0,1,0.6407868842480787,LS7,LS1,LS7
49,0.3203054326522478,EDGE,A,EDGEA,-0.7733780746089193,9.64502377051215e-12,0.9999999999419832,4.837178426155993e-11,1.2181660631134582e-15,1.6064957992394324e-16,4.1439898221174463e-16,4.292874081120327e-17,3.868074653305118e-08,0,0.0,EDGEA9,EDGEA9,EDGEA9
50,0.32492760677200416,EDGE,S,EDGES,0.7907614876026741,0.0051254085229621845,0.9689203519598856,0.025954239517152245,1.279792245879279e-15,3.0903148056699116e-16,5.827498735948399e-16,7.764152005630948e-17,1.5558777372398732e-13,0,0.0,EDGES11,EDGES11,EDGES11
51,0.32800432789586775,L,S,LS,0.9839194869043042,4.203575639058405e-12,0.9999999999521371,4.3659388952622724e-11,3.036719972250747e-08,3.289022821545083e-08,8.278469482342985e-09,7.706075710001802e-09,0.9999999999999996,5,0.5255622392398746,LS8,LS3,LS8
52,0.32932466513099246,L,S,LS,0.9775429779127713,4.462370451071312e-05,0.9988550041157385,0.001100372179750881,0.011192006075920137,7.263366554136092e-13,0.00038021666751855145,1.5840548808519398e-13,1.0,9,0.9870920831852816,LS9,LS5,LS9
53,0.33168920766350024,T,S,TS,0.9771924246093407,0.04840165357995597,0.030938621356927667,0.9206597250631164,0.0014991932289022934,1.0506741993005313e-09,0.010956630368679348,2.377806434646299e-10,0.9999999999988625,9,0.9807728392456794,TS5,TS4,TS5
54,0.3317445465751732,V,S,VS,0.9771750012760619,0.050038955715432085,4.6872703085722e-13,0.9499610442840992,1.411026561198045e-10,0.01113027446399031,1.0342679346225734e-09,0.0025189098443795035,0.9999999999989656,9,0.9811641046921183,VS5,VS4,VS5
55,0.33178169014089975,EDGE,S,EDGES,0.977203443735352,0.020539052691115903,0.36955502369198207,0.609905923616902,8.930212095217879e-15,6.49542913869889e-14,4.9823395346321584e-14,1.469275775999771e-14,0.0003754126187955629,0,0.0,EDGES12,EDGES12,EDGES12
56,0.33215179739152956,EDGE,S,EDGES,0.9768131330108081,0.03263128727891818,3.64921761052346e-13,0.9673687127207169,1.6285390106031824e-15,3.350881947366562e-15,5.025125506452945e-15,7.549047763839255e-16,4.526340173796925e-05,0,0.0,EDGES13,EDGES13,EDGES13
57,0.3332806781560889,EDGE,S,EDGES,0.9111009676023997,0.011303435797978047,0.6530525773542382,0.3356439868477838,1.3153774847411546e-15,1.372753533655658e-15,2.4166121744657523e-15,3.054369452395937e-16,1.12091043050607e-13,0,0.0,EDGES14,EDGES14,EDGES14
58,0.3354323906357553,L,S,LS,0.9927378404972321,0.0009585342380464702,0.9748558403975652,0.02418562536438832,0.006586848352207659,2.6504195793684766e-12,0.0018623155254198762,4.92357425988371e-13,1.0000000000000002,3,0.6033544755637289,LS10,LS2,LS10
