mode,frequency_hz,eigenpair_relative_residual,mode_class,dominant_span,dominant_span_fraction,main_energy_fraction,family,family_fraction_within_main,span_parity,half_wave_order,template_mac,roll_common_dominant,main_L_energy,main_V_energy,main_T_energy,main_sys_z_energy,main_intra_roll_energy,modal_mass_norm,formal_label
50,0.3466937182359845,1.1004906591846448e-11,MAIN,MAIN,0.9999999999941449,0.9999999999941449,L,0.8583389236592351,S,1,0.3157907635517087,True,0.8583389236542088,1.1115014385808993e-11,0.13974193170591992,0.03609571827257254,0.10364621343334735,0.9999999999999997,LS7
51,0.3495049870920378,1.0915325390777577e-11,SIDE,NORTH,0.9999999999683401,3.1659460623391656e-11,SIDE,0.9983252792945956,,0,0.0,True,3.0635207152146667e-26,1.1462394744498749e-24,5.3020753543421565e-14,9.850259376719188e-15,4.3170494166702377e-14,0.999999999999998,SIDE_NORTH
52,0.34982035059904,1.099245667591894e-11,MAIN,MAIN,0.9999999999875002,0.9999999999875002,SYSY,0.90139474029373,,0,0.0,False,6.170437741987776e-07,4.658000553059776e-06,0.09487746467601493,2.6497482953344357e-08,0.09487743817853198,0.9999999999999989,SYSY_MIXED
53,0.3629223560192177,1.1518267927443636e-11,SIDE,SOUTH,0.9997135147523262,5.464717348835697e-11,SIDE,0.9990312192362738,,0,0.0,False,9.000023552589053e-28,8.871643461656619e-20,5.2849396321202954e-14,1.5102729496296426e-19,5.284924529390799e-14,1.0,SIDE_SOUTH
54,0.3631088118339022,1.4027867025760314e-11,SIDE,SOUTH,0.9993778017498698,4.1725419016794535e-12,SIDE,0.9990328928118892,,0,0.0,True,1.1581735905885076e-26,1.2403315463440926e-23,4.035282441915542e-15,3.984037451145483e-15,5.1244990770059025e-17,1.0,SIDE_SOUTH
55,0.3645872602976087,9.55334019875602e-12,MAIN,MAIN,0.9999999999997015,0.9999999999997015,T,0.8525975238941184,A,10,0.9590664223609292,True,0.10218741792663764,3.005328180074705e-05,0.8525975238938641,0.8372992705513873,0.015298253342476913,0.9999999999999988,TA5
56,0.36477241582134345,5.810076770478354e-12,MAIN,MAIN,0.9999999999998928,0.9999999999998928,V,0.9485399122943474,A,10,0.9669648695206516,False,3.3355386500460065e-06,0.9485399122942455,5.777782954160857e-05,2.644006996602529e-05,3.133775957558328e-05,1.0,VA5
57,0.3665770677367605,8.177610317955218e-12,MAIN,MAIN,0.9999999999440039,0.9999999999440039,SYSY,0.8732240306450718,,0,0.0,False,1.405266400248436e-07,0.00024209700932371444,0.11930017414412177,7.581512390113597e-09,0.11930016656260937,0.9999999999999996,SYSY_MIXED
58,0.3684078350605246,1.1681337339583151e-11,MAIN,MAIN,0.9999999999964895,0.9999999999964895,L,0.8592657680244055,A,10,0.4368499861679778,True,0.8592657680213881,2.755835621763402e-09,0.13472006718333773,0.06303976600143738,0.07168030118190037,1.0000000000000002,LA6
59,0.3693383570252154,1.0024434296101274e-11,SIDE,SOUTH,0.9958453734114414,2.1253027374293954e-11,SIDE,0.9990142655993998,,0,0.0,False,4.291151190306382e-27,2.055378860103133e-14,3.830283773194994e-19,2.666611198697484e-22,3.8276171619962965e-19,0.9999999999999998,SIDE_SOUTH
60,0.37104150360471067,1.3460363767183155e-11,SIDE,SOUTH,0.9965774703002094,1.5593970258317476e-11,SIDE,0.9990328520808439,,0,0.0,True,1.545452481639987e-25,4.061585391488316e-22,1.5081255920235552e-14,1.3896477385644506e-14,1.184778534591046e-15,0.9999999999999994,SIDE_SOUTH
