passage_index,passage_id,span,gate_index,catwalk,subsystem,mct_node,rope_index,ansys_node,ansys_x_mm,ansys_y_mm,ansys_z_mm,node_family,node_source,mct_combined_fz_kn_per_catwalk,applied_fz_n_at_node,combined_weight_kn_at_node,combined_mass_tonne_at_node,mass21_element_id,mass21_real_id,incident_link10_count,incident_beam4_count,incident_total_element_count,component_ids_in_combined_mass
2,H02,north_side,6,1,gate,1033,2,12076,-23400.0,374918.30000000005,190318.383196477,CW1_GANTRY_PHI54_02,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,511164,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,1,gate,1033,3,12471,-23140.0,374918.30000000005,190318.383196477,CW1_GANTRY_PHI54_03,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,511235,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,1,gate,1033,4,12866,-19760.0,374918.30000000005,190318.383196477,CW1_GANTRY_PHI54_04,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,511306,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,1,gate,1033,5,13261,-19500.0,374918.30000000005,190318.383196477,CW1_GANTRY_PHI54_05,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,511377,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,1,gate,1033,6,13656,-19240.0,374918.30000000005,190318.383196477,CW1_GANTRY_PHI54_06,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,511448,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,2,bottom,81,1,14099,18780.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_01,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,511587,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,2,14827,19040.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_02,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,512280,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,3,15555,19300.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_03,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,512973,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,4,16283,19560.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_04,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,513666,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,5,17011,19820.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_05,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,514359,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,6,17739,20080.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_06,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,515052,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,7,18467,20340.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_07,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,515745,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,8,19195,20600.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_08,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,516438,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,9,19923,22300.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_09,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,517131,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,10,20651,22560.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_10,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,517824,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,11,21379,22820.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_11,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,518517,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,12,22107,23080.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_12,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,519210,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,13,22835,23340.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_13,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,519903,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,14,23563,23600.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_14,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,520596,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,15,24291,23860.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_15,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,521289,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,bottom,81,16,25019,24120.0,374909.0,181248.47221642,CW2_BOTTOM_PHI50_16,MCT node 81,-68.8,-4300.0,4.3,0.4385070365082602,521982,200012,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller
2,H02,north_side,6,2,gate,1033,1,25699,19240.0,374918.30000000005,190318.383196477,CW2_GANTRY_PHI54_01,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522607,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,2,gate,1033,2,26094,19500.0,374918.30000000005,190318.383196477,CW2_GANTRY_PHI54_02,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522678,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,2,gate,1033,3,26489,19760.0,374918.30000000005,190318.383196477,CW2_GANTRY_PHI54_03,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522749,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,2,gate,1033,4,26884,23140.0,374918.30000000005,190318.383196477,CW2_GANTRY_PHI54_04,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522820,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,2,gate,1033,5,27279,23400.0,374918.30000000005,190318.383196477,CW2_GANTRY_PHI54_05,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522891,200006,2,0,2,cross_passage_tri_gate;guide_roller
2,H02,north_side,6,2,gate,1033,6,27674,23660.0,374918.30000000005,190318.383196477,CW2_GANTRY_PHI54_06,MCT node 1033,-21.556,-3592.6666666666665,3.5926666666666667,0.3663743286423279,522962,200006,2,0,2,cross_passage_tri_gate;guide_roller
3,H03,north_side,9,1,bottom,120,1,120,-24120.0,545909.0,261294.046462196,CW1_BOTTOM_PHI50_01,MCT node 120,-70.12,-4382.5,4.3825,0.4469202529063838,500112,200013,2,0,2,cross_passage_half;main_cable_restrainer;gate_bottom_beam;pws_roller;large_crossbeam
