apdl_node_id,x_mm,y_mm,z_mm,mass_tonne,is_generated_node,system,assembly_name,role,component_ids,component_masses_tonne
67,311909.000000000000,24120.000000000000,154695.580004816991,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
68,317909.000000000000,24120.000000000000,157165.625881629996,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
69,320909.000000000000,24120.000000000000,158406.040218208014,7.71211503161329821e-03,0,original,ORIGINAL,retained_authoritative_conload_component,pws_roller,pws_roller=7.71211503161329821e-03
70,323909.000000000000,24120.000000000000,159649.503311796987,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
71,329909.000000000000,24120.000000000000,162145.254669171001,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
72,335909.000000000000,24120.000000000000,164653.278940866003,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
73,338909.000000000000,24120.000000000000,165911.735852573009,7.71211503161329821e-03,0,original,ORIGINAL,retained_authoritative_conload_component,pws_roller,pws_roller=7.71211503161329821e-03
74,341909.000000000000,24120.000000000000,167173.247246657003,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
75,347909.000000000000,24120.000000000000,169705.113709517987,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
76,353909.000000000000,24120.000000000000,172249.276144225994,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
77,356909.000000000000,24120.000000000000,173525.810187794996,7.71211503161329821e-03,0,original,ORIGINAL,retained_authoritative_conload_component,pws_roller,pws_roller=7.71211503161329821e-03
78,359909.000000000000,24120.000000000000,174805.404519233009,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
79,365909.000000000000,24120.000000000000,177373.455580948008,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
80,371909.000000000000,24120.000000000000,179953.825997681997,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
81,374909.000000000000,24120.000000000000,181248.472216419992,1.01532225168264337e-01,0,original,ORIGINAL,retained_authoritative_conload_component,main_cable_restrainer;pws_roller,main_cable_restrainer=9.38201101366510359e-02;pws_roller=7.71211503161329821e-03
82,377909.000000000000,24120.000000000000,182566.482181764994,8.41321639812359773e-03,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam,large_crossbeam=8.41321639812359773e-03
83,383909.000000000000,24120.000000000000,185211.404887003009,1.61253314297368951e-02,0,original,ORIGINAL,retained_authoritative_conload_component,large_crossbeam;pws_roller,large_crossbeam=8.41321639812359773e-03;pws_roller=7.71211503161329821e-03
