mode,node,dof,frequency_hz,mass,stiffness
87,29,3,4.367084410464e-01,1.000000000000e+00,7.529097297338e+00
88,30,1,4.371866043661e-01,1.000000000000e+00,7.545593928782e+00
89,30,2,4.393199622488e-01,1.000000000000e+00,7.619414708443e+00
90,30,3,4.393772978402e-01,1.000000000000e+00,7.621403655876e+00
91,31,1,4.398465654373e-01,1.000000000000e+00,7.637692106319e+00
92,31,2,4.439908780374e-01,1.000000000000e+00,7.782297549000e+00
93,31,3,4.515061031813e-01,1.000000000000e+00,8.047981828935e+00
94,32,1,4.628653329672e-01,1.000000000000e+00,8.458026594682e+00
95,32,2,4.646567928272e-01,1.000000000000e+00,8.523624669945e+00
96,32,3,4.653097749667e-01,1.000000000000e+00,8.547598000586e+00
97,33,1,4.744901095729e-01,1.000000000000e+00,8.888205052055e+00
98,33,2,4.762081086685e-01,1.000000000000e+00,8.952685099382e+00
99,33,3,4.762269519523e-01,1.000000000000e+00,8.953393618708e+00
100,34,1,4.766489250607e-01,1.000000000000e+00,8.969267416517e+00
101,34,2,4.792142785721e-01,1.000000000000e+00,9.066073511261e+00
102,34,3,4.804062083917e-01,1.000000000000e+00,9.111228936133e+00
103,35,1,4.805996546887e-01,1.000000000000e+00,9.118568093411e+00
104,35,2,4.806618061744e-01,1.000000000000e+00,9.120926685199e+00
105,35,3,4.807745761123e-01,1.000000000000e+00,9.125206979497e+00
106,36,1,4.813040238259e-01,1.000000000000e+00,9.145316113507e+00
107,36,2,4.819324547355e-01,1.000000000000e+00,9.169213488358e+00
108,36,3,4.821570858306e-01,1.000000000000e+00,9.177763111701e+00
109,37,1,4.821754854658e-01,1.000000000000e+00,9.178463591776e+00
110,37,2,4.847130465234e-01,1.000000000000e+00,9.275325416620e+00
111,37,3,4.901303765322e-01,1.000000000000e+00,9.483812855864e+00
112,38,1,4.907949609243e-01,1.000000000000e+00,9.509549139064e+00
113,38,2,4.960001728970e-01,1.000000000000e+00,9.712329156448e+00
114,38,3,5.008300227949e-01,1.000000000000e+00,9.902399585785e+00
115,39,1,5.013551231608e-01,1.000000000000e+00,9.923175015675e+00
116,39,2,5.082102832399e-01,1.000000000000e+00,1.019639458230e+01
117,39,3,5.083044140019e-01,1.000000000000e+00,1.020017208665e+01
118,40,1,5.104595023103e-01,1.000000000000e+00,1.028684798704e+01
119,40,2,5.130763578830e-01,1.000000000000e+00,1.039258877779e+01
120,40,3,5.143065796414e-01,1.000000000000e+00,1.044248589895e+01
121,41,1,5.143903307415e-01,1.000000000000e+00,1.044588714219e+01
122,41,2,5.145188662901e-01,1.000000000000e+00,1.045110821851e+01
123,41,3,5.145252315946e-01,1.000000000000e+00,1.045136680922e+01
124,42,1,5.156770438728e-01,1.000000000000e+00,1.049821188493e+01
125,42,2,5.157203006524e-01,1.000000000000e+00,1.049997321168e+01
126,42,3,5.180560558203e-01,1.000000000000e+00,1.059529971223e+01
127,43,1,5.180609787119e-01,1.000000000000e+00,1.059550107947e+01
128,43,2,5.181456359939e-01,1.000000000000e+00,1.059896422242e+01
129,43,3,5.182517441527e-01,1.000000000000e+00,1.060330567260e+01
