mode,q_ccx,q_matrix_reference,q_package,generalized_residual_N
30,2.646954000000e-12,2.646954082737e-12,2.646954082737e-12,-1.759004831330e-19
31,-5.311680000000e-12,-5.311680336972e-12,-5.311680336970e-12,8.183732796823e-19
32,-4.913325000000e-12,-4.913325089571e-12,-4.913325089571e-12,2.179029366848e-19
33,-1.575577000000e-11,-1.575576521369e-11,-1.575576521369e-11,-1.172504594680e-17
34,1.378797000000e+02,1.378796842621e+02,1.378796842621e+02,4.073194315879e-05
35,-3.056438000000e+01,-3.056437635662e+01,-3.056437635662e+01,-9.588079308287e-06
36,1.276167000000e+01,1.276167408803e+01,1.276167408803e+01,-1.076654468335e-05
37,-1.419556000000e-03,-1.419555597893e-03,-1.419555597893e-03,-1.248571641042e-09
38,1.147557000000e-05,1.147557362559e-05,1.147557362560e-05,-1.140619882751e-11
39,7.279012000000e-14,7.279012333913e-14,7.279012333913e-14,-1.080030555859e-20
40,7.653772000000e-01,7.653772308426e-01,7.653772308426e-01,-1.040843784494e-07
41,-1.263945000000e-12,-1.263945283124e-12,-1.263945283124e-12,9.623686747282e-19
42,9.830429000000e-02,9.830429100303e-02,9.830429100304e-02,-3.420530692022e-09
43,2.398564000000e-02,2.398563776517e-02,2.398563776516e-02,7.623945808000e-09
44,-9.159997000000e-05,-9.159996920723e-05,-9.159996920722e-05,-2.767017517891e-12
45,-3.679303000000e-06,-3.679302550135e-06,-3.679302550136e-06,-1.724405830327e-12
46,8.987250000000e-11,8.987249859941e-11,8.987249859942e-11,5.549517506491e-18
47,8.787989000000e+00,8.787988706887e+00,8.787988706886e+00,1.170945822082e-06
48,-3.311868000000e+02,-3.311868087878e+02,-3.311868087878e+02,3.516077799759e-05
49,-6.901031000000e-13,-6.901030592202e-13,-6.901030592201e-13,-1.651710430321e-19
50,7.015231000000e-12,7.015230816368e-12,7.015230816368e-12,7.653879912851e-19
51,7.924930000000e-05,7.924929927829e-05,7.924929927828e-05,3.065381986873e-12
52,-8.012361000000e+01,-8.012360826839e+01,-8.012360826839e+01,-7.414098774916e-06
53,-6.906179000000e+00,-6.906179423411e+00,-6.906179423411e+00,1.839011648741e-06
54,5.055059000000e+00,5.055058801443e+00,5.055058801444e+00,8.626833860603e-07
55,4.241226000000e-12,4.241225555544e-12,4.241225555544e-12,1.931495545923e-18
56,-2.742824000000e-11,-2.742823516554e-11,-2.742823516555e-11,-2.105623551771e-17
57,-6.359627000000e-12,-6.359627266323e-12,-6.359627266324e-12,1.167855542369e-18
58,-7.699145000000e+01,-7.699145304477e+01,-7.699145304477e+01,1.352461430315e-05
59,-5.293623000000e-12,-5.293623281539e-12,-5.293623281538e-12,1.328926267665e-18
60,4.094515000000e-01,4.094514831044e-01,4.094514831043e-01,7.992203143736e-08
61,4.008667000000e-06,4.008666580697e-06,4.008666580698e-06,1.988572243612e-12
62,-1.661864000000e-12,-1.661864350756e-12,-1.661864350756e-12,1.669304764706e-18
63,-3.716483000000e-12,-3.716482726071e-12,-3.716482726070e-12,-1.306035368994e-18
64,8.321682000000e-13,8.321682272506e-13,8.321682272507e-13,-1.307859200462e-19
65,-2.140382000000e-12,-2.140382259033e-12,-2.140382259034e-12,1.256804965205e-18
66,-5.997554000000e+01,-5.997554044450e+01,-5.997554044451e+01,2.270244522151e-06
67,-1.470538000000e+00,-1.470537588867e+00,-1.470537588867e+00,-2.158542816488e-06
68,-2.329181000000e-01,-2.329181306233e-01,-2.329181306234e-01,1.626938066490e-07
69,3.450445000000e-03,3.450444909149e-03,3.450444909148e-03,4.828958725944e-10
70,2.858431000000e-12,2.858430832573e-12,2.858430832573e-12,8.905643318851e-19
71,-1.069112000000e-12,-1.069112086578e-12,-1.069112086578e-12,4.660951982239e-19
72,-1.152984000000e-12,-1.152984490059e-12,-1.152984490059e-12,2.663192728545e-18
73,1.606048000000e-12,1.606048297951e-12,1.606048297951e-12,-1.622069959995e-18
74,-1.175428000000e-04,-1.175427800532e-04,-1.175427800532e-04,-1.088377301695e-10
75,1.348084000000e-14,1.348083750924e-14,1.348083750924e-14,1.359796911617e-20
76,5.781350000000e-01,5.781349965226e-01,5.781349965226e-01,1.941631566638e-08
77,3.876730000000e-12,3.876729816732e-12,3.876729816732e-12,1.101976138350e-18
78,3.410602000000e-06,3.410601709423e-06,3.410601709423e-06,1.778911263764e-12
