mode,frequency_hz,q_ref_max_abs,q_ccx_max_abs,q_max_abs_error,v_ref_max_abs,v_max_abs_error
43,2.939594148550e-01,4.739721789059e+01,4.739722000000e+01,4.964945851782e-06,6.549063394193e+01,4.967214181306e-06
44,2.973398167889e-01,1.388449172092e-04,1.388449000000e-04,4.860115733257e-11,2.138361281142e-04,4.940189265155e-11
45,3.116010625721e-01,7.626558796787e-05,7.626559000000e-05,4.982419716333e-12,2.034701704059e-04,3.941470096808e-11
46,3.168049544652e-01,5.027199349297e-12,5.058490000000e-12,9.342187737743e-14,8.322459631263e-12,1.330738164195e-13
47,3.181051692480e-01,2.259543026624e+01,2.259543000000e+01,4.858074738934e-06,4.144988533983e+01,4.992868557707e-06
48,3.183527185486e-01,2.902223868198e+01,2.902224000000e+01,4.980897355011e-06,5.248961216982e+01,4.943731799045e-06
49,3.203054326522e-01,2.110518380527e-13,2.009515000000e-13,1.639590131588e-14,3.573392609551e-13,3.157949201806e-14
50,3.249276067720e-01,3.318968328516e-12,3.308675000000e-12,3.279944230171e-14,5.711992696170e-12,3.364763556602e-14
51,3.280043278959e-01,1.090118459918e-04,1.090118000000e-04,4.932106929627e-11,1.690193408092e-04,4.991478969518e-11
52,3.293246651310e-01,2.360227318280e+01,2.360227000000e+01,4.993969817235e-06,3.819897591211e+01,4.945048509342e-06
53,3.316892076635e-01,3.892893785985e+00,3.892894000000e+00,4.971543781096e-07,6.653671496217e+00,4.981215169231e-07
54,3.317445465752e-01,4.453337821620e+01,4.453338000000e+01,4.990482388223e-06,7.849055266871e+01,4.993601720571e-06
55,3.317816901409e-01,8.220502215906e-11,8.224352000000e-11,4.132601351323e-14,1.439525407541e-10,5.530374220031e-14
56,3.321517973915e-01,8.791573409008e-11,8.793293000000e-11,1.752215150535e-14,1.537878908542e-10,5.210914577594e-14
57,3.332806781561e-01,3.597973593870e-12,3.602473000000e-12,3.946151565186e-14,6.175566369263e-12,7.262864435240e-14
58,3.354323906358e-01,8.599944828679e+00,8.599945000000e+00,4.993910778239e-07,2.182922114710e+01,4.735066736927e-06
59,3.457813308384e-01,3.856420375769e-12,3.842155000000e-12,4.946766711770e-14,6.096697441140e-12,7.980818349280e-14
60,3.461515987668e-01,8.956738739657e+00,8.956739000000e+00,4.999085065904e-07,1.658174345888e+01,4.834813108090e-06
61,3.465988268243e-01,5.064319220247e-05,5.064319000000e-05,4.893705629123e-12,1.030750835462e-04,1.645384836138e-11
62,3.472043732308e-01,7.213240285740e-13,6.949765000000e-13,7.306836236728e-14,1.847861016799e-12,8.399342152287e-14
63,3.475188191753e-01,1.900682847548e-12,1.880414000000e-12,2.550207164026e-14,4.672328461217e-12,4.485074813006e-14
64,3.486682474679e-01,6.018305635954e-13,6.112795000000e-13,3.677309581131e-14,1.872030086530e-12,4.826308325664e-14
65,3.505713953366e-01,1.207059025062e-12,1.198288000000e-12,2.672768351169e-14,2.407295434806e-12,3.457262810075e-14
66,3.596829122729e-01,7.899850324643e+00,7.899850000000e+00,4.994530780067e-07,1.454994845602e+01,4.523943706758e-06
67,3.646777362316e-01,7.443060657368e+00,7.443061000000e+00,4.940221605132e-07,2.166264427293e+01,4.623894895417e-06
68,3.668426802332e-01,1.288232211752e+00,1.288232000000e+00,4.532246169475e-07,3.014895516340e+00,4.959919968073e-07
69,3.669280862881e-01,1.397818340318e+01,1.397818000000e+01,4.929398507159e-06,3.304391932090e+01,4.872268615230e-06
70,3.670626226719e-01,4.213335690829e-11,4.211096000000e-11,2.305796583248e-14,9.603946214689e-11,2.925055609789e-14
