mode,freq,station,x_mm,nid_plus,nid_minus,uY_L,uY_R,uZ_L,uZ_R,u_L,u_V,u_T,dUZ
9,0.1248877970899216,3,1847909.0,28660,51508,-3.27247080996137e-16,-3.678834109335086e-16,-3.148018469760967e-16,5.292644659626444e-17,-3.475652459648228e-16,-1.3093770018991613e-16,-8.551820780752584e-21,-3.677282935723611e-16
9,0.1248877970899216,4,2423409.0,374,14392,4.264043913768385e-16,4.036190812267631e-16,1.949656122053512e-16,1.012702822836818e-16,4.1501173630180084e-16,1.481179472445165e-16,2.1789611609690558e-21,9.36953299216694e-17
9,0.1248877970899216,5,3361547.0,29176,52024,4.042875267716508e-16,3.944757094075692e-16,-3.566582500794173e-16,1.647939621134073e-16,3.9938161808961e-16,-9.593214398300502e-17,-1.2126795632391269e-20,-5.214522121928246e-16
10,0.1354859267659523,1,372853.0,80,14098,-5.128064081948194e-18,6.412934485758004e-18,1.688869158948476e-16,-1.971500649075744e-16,6.42435201904905e-19,-1.4131574506363393e-17,8.512487925637721e-21,3.66036980802422e-16
10,0.1354859267659523,2,1272409.0,28469,51317,-2.773856145262378e-17,-2.363877494896954e-17,1.732839649082715e-16,-1.867512919161777e-16,-2.568866820079666e-17,-6.7336635039530944e-18,8.372912949405795e-21,3.600352568244492e-16
10,0.1354859267659523,3,1847909.0,28660,51508,-1.908318008539495e-16,-1.881954725882942e-16,-2.684346928232703e-17,3.712064577728426e-17,-1.8951363672112187e-16,5.138588247478615e-18,-1.487537559525844e-21,-6.396411505961129e-17
10,0.1354859267659523,4,2423409.0,374,14392,3.720730144054344e-17,5.122444727316235e-17,1.700686362741417e-16,-2.108756795601597e-16,4.4215874356852893e-17,-2.0403521643009002e-17,8.859170135681428e-21,3.809443158343014e-16
10,0.1354859267659523,5,3361547.0,29176,52024,9.989799865492807e-06,-9.423833502539157e-06,0.04658770584919956,0.04668168487140633,2.8298318147682487e-07,0.046634695360302944,-2.1855586559714446e-09,-9.397902220677212e-05
11,0.1378920508405773,1,372853.0,80,14098,-3.975176483486085e-16,-3.903213154278423e-16,-4.535904660428144e-17,-2.898687664343562e-17,-3.9391948188822544e-16,-3.717296162385853e-17,-3.807481386243215e-22,-1.6372169960845825e-17
11,0.1378920508405773,2,1272409.0,28469,51317,3.705201807521229e-17,3.274418403494121e-17,3.266607276972599e-16,-2.341978049184333e-16,3.489810105507675e-17,4.623146138941329e-17,1.3043221688737052e-20,5.608585326156932e-16
