node_id,X_mm,Y_mm,Z_mm,family,component_class
2000240,260913.649999999907,18540.000000000000,143364.627105580003,CW1_GATE_04::right_post_top_weld_projection,gate
2000241,260913.649999999907,17760.000000000000,143364.627105580003,CW1_GATE_04::top_beam_endpoint_end,gate
2000251,260913.649999999907,24360.000000000000,134385.353827214014,CW1_GATE_04::left_post_physical_bottom,gate
2000252,260913.649999999907,24360.000000000000,143284.627105580003,CW1_GATE_04::left_post_physical_top,gate
2000254,260913.649999999907,18540.000000000000,134385.353827214014,CW1_GATE_04::right_post_physical_bottom,gate
2000255,260913.649999999907,18540.000000000000,143284.627105580003,CW1_GATE_04::right_post_physical_top,gate
2000257,317913.649999999907,24525.000000000000,157278.125881629996,CW1_GATE_05::bottom_beam_endpoint_start,gate
2000258,317913.649999999907,24360.000000000000,157278.125881629996,CW1_GATE_05::left_post_bottom_weld_projection,gate
2000259,317913.649999999907,24120.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_01,gate
2000260,317913.649999999907,23860.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_02,gate
2000261,317913.649999999907,23600.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_03,gate
2000262,317913.649999999907,23340.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_04,gate
2000263,317913.649999999907,23080.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_05,gate
2000264,317913.649999999907,22820.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_06,gate
2000265,317913.649999999907,22560.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_07,gate
2000266,317913.649999999907,22300.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_08,gate
2000267,317913.649999999907,20600.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_09,gate
2000268,317913.649999999907,20340.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_10,gate
2000269,317913.649999999907,20080.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_11,gate
2000270,317913.649999999907,19820.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_12,gate
2000271,317913.649999999907,19560.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_13,gate
2000272,317913.649999999907,19300.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_14,gate
2000273,317913.649999999907,19040.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_15,gate
2000274,317913.649999999907,18780.000000000000,157278.125881629996,CW1_GATE_05::bottom_rope_master_16,gate
2000275,317913.649999999907,18540.000000000000,157278.125881629996,CW1_GATE_05::right_post_bottom_weld_projection,gate
2000276,317913.649999999907,18375.000000000000,157278.125881629996,CW1_GATE_05::bottom_beam_endpoint_end,gate
2000296,317913.649999999907,25140.000000000000,166330.768180212006,CW1_GATE_05::top_beam_endpoint_start,gate
2000297,317913.649999999907,24360.000000000000,166330.768180212006,CW1_GATE_05::left_post_top_weld_projection,gate
2000298,317913.649999999907,23660.000000000000,166330.768180212006,CW1_GATE_05::gantry_rope_master_01,gate
2000299,317913.649999999907,23400.000000000000,166330.768180212006,CW1_GATE_05::gantry_rope_master_02,gate
2000300,317913.649999999907,23140.000000000000,166330.768180212006,CW1_GATE_05::gantry_rope_master_03,gate
2000301,317913.649999999907,19760.000000000000,166330.768180212006,CW1_GATE_05::gantry_rope_master_04,gate
2000302,317913.649999999907,19500.000000000000,166330.768180212006,CW1_GATE_05::gantry_rope_master_05,gate
2000303,317913.649999999907,19240.000000000000,166330.768180212006,CW1_GATE_05::gantry_rope_master_06,gate
2000304,317913.649999999907,18540.000000000000,166330.768180212006,CW1_GATE_05::right_post_top_weld_projection,gate
2000305,317913.649999999907,17760.000000000000,166330.768180212006,CW1_GATE_05::top_beam_endpoint_end,gate
2000315,317913.649999999907,24360.000000000000,157365.625881629996,CW1_GATE_05::left_post_physical_bottom,gate
2000316,317913.649999999907,24360.000000000000,166250.768180212006,CW1_GATE_05::left_post_physical_top,gate
2000318,317913.649999999907,18540.000000000000,157365.625881629996,CW1_GATE_05::right_post_physical_bottom,gate
2000319,317913.649999999907,18540.000000000000,166250.768180212006,CW1_GATE_05::right_post_physical_top,gate
2000321,374913.649999999907,24525.000000000000,181360.972216419992,CW1_GATE_06::bottom_beam_endpoint_start,gate
2000322,374913.649999999907,24360.000000000000,181360.972216419992,CW1_GATE_06::left_post_bottom_weld_projection,gate
2000323,374913.649999999907,24120.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_01,gate
2000324,374913.649999999907,23860.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_02,gate
2000325,374913.649999999907,23600.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_03,gate
2000326,374913.649999999907,23340.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_04,gate
2000327,374913.649999999907,23080.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_05,gate
2000328,374913.649999999907,22820.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_06,gate
2000329,374913.649999999907,22560.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_07,gate
2000330,374913.649999999907,22300.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_08,gate
2000331,374913.649999999907,20600.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_09,gate
2000332,374913.649999999907,20340.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_10,gate
2000333,374913.649999999907,20080.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_11,gate
2000334,374913.649999999907,19820.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_12,gate
2000335,374913.649999999907,19560.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_13,gate
2000336,374913.649999999907,19300.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_14,gate
2000337,374913.649999999907,19040.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_15,gate
2000338,374913.649999999907,18780.000000000000,181360.972216419992,CW1_GATE_06::bottom_rope_master_16,gate
2000339,374913.649999999907,18540.000000000000,181360.972216419992,CW1_GATE_06::right_post_bottom_weld_projection,gate
2000340,374913.649999999907,18375.000000000000,181360.972216419992,CW1_GATE_06::bottom_beam_endpoint_end,gate
2000360,374913.649999999907,25140.000000000000,190425.383196476992,CW1_GATE_06::top_beam_endpoint_start,gate
2000361,374913.649999999907,24360.000000000000,190425.383196476992,CW1_GATE_06::left_post_top_weld_projection,gate
2000362,374913.649999999907,23660.000000000000,190425.383196476992,CW1_GATE_06::gantry_rope_master_01,gate
2000363,374913.649999999907,23400.000000000000,190425.383196476992,CW1_GATE_06::gantry_rope_master_02,gate
2000364,374913.649999999907,23140.000000000000,190425.383196476992,CW1_GATE_06::gantry_rope_master_03,gate
2000365,374913.649999999907,19760.000000000000,190425.383196476992,CW1_GATE_06::gantry_rope_master_04,gate
2000366,374913.649999999907,19500.000000000000,190425.383196476992,CW1_GATE_06::gantry_rope_master_05,gate
2000367,374913.649999999907,19240.000000000000,190425.383196476992,CW1_GATE_06::gantry_rope_master_06,gate
2000368,374913.649999999907,18540.000000000000,190425.383196476992,CW1_GATE_06::right_post_top_weld_projection,gate
2000369,374913.649999999907,17760.000000000000,190425.383196476992,CW1_GATE_06::top_beam_endpoint_end,gate
2000379,374913.649999999907,24360.000000000000,181448.472216419992,CW1_GATE_06::left_post_physical_bottom,gate
2000380,374913.649999999907,24360.000000000000,190345.383196476992,CW1_GATE_06::left_post_physical_top,gate
2000382,374913.649999999907,18540.000000000000,181448.472216419992,CW1_GATE_06::right_post_physical_bottom,gate
2000383,374913.649999999907,18540.000000000000,190345.383196476992,CW1_GATE_06::right_post_physical_top,gate
2000385,431913.649999999907,24525.000000000000,206921.721881486010,CW1_GATE_07::bottom_beam_endpoint_start,gate
2000386,431913.649999999907,24360.000000000000,206921.721881486010,CW1_GATE_07::left_post_bottom_weld_projection,gate
2000387,431913.649999999907,24120.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_01,gate
2000388,431913.649999999907,23860.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_02,gate
2000389,431913.649999999907,23600.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_03,gate
2000390,431913.649999999907,23340.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_04,gate
2000391,431913.649999999907,23080.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_05,gate
2000392,431913.649999999907,22820.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_06,gate
2000393,431913.649999999907,22560.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_07,gate
2000394,431913.649999999907,22300.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_08,gate
2000395,431913.649999999907,20600.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_09,gate
2000396,431913.649999999907,20340.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_10,gate
2000397,431913.649999999907,20080.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_11,gate
2000398,431913.649999999907,19820.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_12,gate
2000399,431913.649999999907,19560.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_13,gate
2000400,431913.649999999907,19300.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_14,gate
2000401,431913.649999999907,19040.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_15,gate
2000402,431913.649999999907,18780.000000000000,206921.721881486010,CW1_GATE_07::bottom_rope_master_16,gate
