
 LIST CONSTRAINTS FOR SELECTED NODES         1 TO  2029626 BY        1
 CURRENTLY SELECTED DOF SET= UX   UY   UZ   ROTX ROTY ROTZ

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.408

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
      6274  UX     0.00000000      0.00000000    
      6274  UY     0.00000000      0.00000000    
      6274  UZ     0.00000000      0.00000000    
      6432  UY     0.00000000      0.00000000    
      6432  UZ     0.00000000      0.00000000    
      6547  UY     0.00000000      0.00000000    
      6547  UZ     0.00000000      0.00000000    
      6550  UY     0.00000000      0.00000000    
      6550  UZ     0.00000000      0.00000000    
      6552  UX     0.00000000      0.00000000    
      6552  UY     0.00000000      0.00000000    
      6552  UZ     0.00000000      0.00000000    
      6553  UX     0.00000000      0.00000000    
      6553  UY     0.00000000      0.00000000    
      6553  UZ     0.00000000      0.00000000    
      6555  UY     0.00000000      0.00000000    
      6555  UZ     0.00000000      0.00000000    
      6558  UY     0.00000000      0.00000000    
      6558  UZ     0.00000000      0.00000000    
      6706  UX     0.00000000      0.00000000    
      6706  UY     0.00000000      0.00000000    
      6706  UZ     0.00000000      0.00000000    
      6709  UY     0.00000000      0.00000000    
      6709  UZ     0.00000000      0.00000000    
      6999  UY     0.00000000      0.00000000    
      6999  UZ     0.00000000      0.00000000    
      7002  UX     0.00000000      0.00000000    
      7002  UY     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.409

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
      7002  UZ     0.00000000      0.00000000    
      7160  UY     0.00000000      0.00000000    
      7160  UZ     0.00000000      0.00000000    
      7275  UY     0.00000000      0.00000000    
      7275  UZ     0.00000000      0.00000000    
      7278  UY     0.00000000      0.00000000    
      7278  UZ     0.00000000      0.00000000    
      7280  UX     0.00000000      0.00000000    
      7280  UY     0.00000000      0.00000000    
      7280  UZ     0.00000000      0.00000000    
      7281  UX     0.00000000      0.00000000    
      7281  UY     0.00000000      0.00000000    
      7281  UZ     0.00000000      0.00000000    
      7283  UY     0.00000000      0.00000000    
      7283  UZ     0.00000000      0.00000000    
      7286  UY     0.00000000      0.00000000    
      7286  UZ     0.00000000      0.00000000    
      7434  UX     0.00000000      0.00000000    
      7434  UY     0.00000000      0.00000000    
      7434  UZ     0.00000000      0.00000000    
      7437  UY     0.00000000      0.00000000    
      7437  UZ     0.00000000      0.00000000    
      7727  UY     0.00000000      0.00000000    
      7727  UZ     0.00000000      0.00000000    
      7730  UX     0.00000000      0.00000000    
      7730  UY     0.00000000      0.00000000    
      7730  UZ     0.00000000      0.00000000    
      7888  UY     0.00000000      0.00000000    
      7888  UZ     0.00000000      0.00000000    
      8003  UY     0.00000000      0.00000000    
      8003  UZ     0.00000000      0.00000000    
      8006  UY     0.00000000      0.00000000    
      8006  UZ     0.00000000      0.00000000    
      8008  UX     0.00000000      0.00000000    
      8008  UY     0.00000000      0.00000000    
      8008  UZ     0.00000000      0.00000000    
      8009  UX     0.00000000      0.00000000    
      8009  UY     0.00000000      0.00000000    
      8009  UZ     0.00000000      0.00000000    
      8011  UY     0.00000000      0.00000000    
      8011  UZ     0.00000000      0.00000000    
      8014  UY     0.00000000      0.00000000    
      8014  UZ     0.00000000      0.00000000    
      8162  UX     0.00000000      0.00000000    
      8162  UY     0.00000000      0.00000000    
      8162  UZ     0.00000000      0.00000000    
      8165  UY     0.00000000      0.00000000    
      8165  UZ     0.00000000      0.00000000    
      8455  UY     0.00000000      0.00000000    
      8455  UZ     0.00000000      0.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2026 R1          26.1     ***
 Ansys Mechanical Enterprise                       
 20120530  VERSION=WINDOWS x64   01:25:22  JUL 16, 2026 Elapsed Time=     17.410

 A10 LEGACY COMPLETE FULL BRIDGE PRESTRESSED MODAL                             


 
     NODE  LABEL     REAL           IMAG
      8458  UX     0.00000000      0.00000000    
      8458  UY     0.00000000      0.00000000    
      8458  UZ     0.00000000      0.00000000    
      8616  UY     0.00000000      0.00000000    
      8616  UZ     0.00000000      0.00000000    
      8731  UY     0.00000000      0.00000000    
      8731  UZ     0.00000000      0.00000000    
      8734  UY     0.00000000      0.00000000    
      8734  UZ     0.00000000      0.00000000    
      8736  UX     0.00000000      0.00000000    
      8736  UY     0.00000000      0.00000000    
      8736  UZ     0.00000000      0.00000000    
      8737  UX     0.00000000      0.00000000    
      8737  UY     0.00000000      0.00000000    
      8737  UZ     0.00000000      0.00000000    
      8739  UY     0.00000000      0.00000000    
      8739  UZ     0.00000000      0.00000000    
      8742  UY     0.00000000      0.00000000    
      8742  UZ     0.00000000      0.00000000    
      8890  UX     0.00000000      0.00000000    
      8890  UY     0.00000000      0.00000000    
      8890  UZ     0.00000000      0.00000000    
      8893  UY     0.00000000      0.00000000    
      8893  UZ     0.00000000      0.00000000    
      9183  UY     0.00000000      0.00000000    
      9183  UZ     0.00000000      0.00000000    
      9186  UX     0.00000000      0.00000000    
      9186  UY     0.00000000      0.00000000    
      9186  UZ     0.00000000      0.00000000    
      9344  UY     0.00000000      0.00000000    
      9344  UZ     0.00000000      0.00000000    
      9459  UY     0.00000000      0.00000000    
