mode,f_hz,family,parity,half_waves,main_span_fraction,dominant_span,residual_zero,L,V,T_catwalk,T_global
71,0.5078375,T,S,1,0.0012937833733771447,side_NW,False,1926.2448378859945,28865.15633858574,8.200191472076988,0.009319956908316279
72,0.5122629,T,S,3,0.006343988713544933,side_SE,False,8481.489745212119,32672.86440452254,9.275841601460515,0.026857635507269998
73,0.5127403,T,S,1,0.9671881284230799,main,False,9284.848291325965,30870.785360914488,8.699831190750693,0.024201491219168685
74,0.513116,T,A,2,0.9941373765014163,main,False,10264.977383026911,30480.037924921256,8.605316541162589,0.02146693135151439
75,0.5150806,T,S,3,0.01517897964910564,side_SE,False,10686.419612851832,35694.498467030084,10.135117493360166,0.04773693495784366
76,0.5193171,T,A,2,0.0018295375962558813,side_NW,False,4426.188894636406,28821.92445538468,8.187982489837095,0.07054223636464747
77,0.5213895,T,S,3,0.03334840620258148,side_SE,False,15333.828962030402,34791.628776259226,9.778878404280853,0.09237530859481732
78,0.5226629,T,A,6,0.06846714460959395,side_SE,False,36549.24104762099,43533.44666453848,12.133198655963861,0.22227933856340365
79,0.5228885,T,S,5,0.9268056987071396,main,False,10546.201200822024,43539.18330830213,12.31176629973761,0.04448643405472159
80,0.5231181,V,A,4,0.0007916582195572043,side_NW,False,504.2155826431177,87387.4263925795,0.14474602932076125,0.04804810766777189
81,0.5231414,T,S,3,0.9939368290264622,main,False,8515.219924119228,40891.393864103906,11.59690251892409,0.02929728715299525
82,0.5249919,T,A,4,0.0006018729670706422,side_NW,False,10363.5982888476,81544.05336103828,2.898338245345771,0.9499513906971666
83,0.5281468,T,A,2,0.00043585570007790826,side_SE,False,5485.828783467003,29482.77783147037,8.372339922838538,0.03472333030476083
84,0.528499,T,S,5,0.003361224350147088,side_SE,False,40043.53601111015,45738.50018374712,11.481174952092461,0.27624607710524124
85,0.529176,V,S,3,0.00011270941050101706,side_SE,False,848.3113494593283,87417.72720919763,0.37274338397781803,0.03935875388157008
86,0.5302953,T,S,7,0.9928866529305955,main,False,46552.28611510282,48459.24762801803,13.635623543086709,0.15930576248821054
87,0.5312214,T,A,6,0.9983526140377728,main,False,16878.0273862525,50696.995716959354,14.350740806287583,0.060797008818997696
88,0.5317502,T,A,4,0.002807578636800154,side_SE,False,7528.152701749419,89196.38248544726,1.9403360324916592,1.017210487311181
89,0.5322679,T,S,3,0.9803230980875149,main,False,43336.07499851408,48169.99727803454,13.462898778235227,0.1461364719845024
90,0.5333519,T,A,2,0.0113220688194085,side_NW,False,22860.36074403124,43926.02572993897,8.262274744298686,0.34420462298053633
91,0.5373599,T,S,7,0.12913146294954886,side_SE,False,46811.11911271291,38515.48945164492,10.155230722240798,0.23318499081795951
92,0.537879,T,S,11,0.9645918388793517,main,False,50300.9774298164,57811.82021570584,15.052639450180482,0.3191200193428879
93,0.5390029,T,S,5,0.9871037479618631,main,False,24013.461160720526,53083.58020370329,15.044015416331014,0.06307719585699369
94,0.5401227,T,A,10,0.9810418865143513,main,False,64085.11625482561,58511.01266956624,13.597763277462342,0.43078728375971864
95,0.5407862,T,A,4,0.0035031087952968965,side_NW,False,30094.81491635388,31248.18466322631,8.380931070865154,0.16911966168345433
96,0.5410571,V,A,14,0.9993685808839284,main,False,4288.608599450504,174702.98048538368,0.889190868679042,0.05540952338092403
97,0.5450254,T,A,14,0.9986178477033679,main,False,19052.788452052206,164903.3349511266,4.94051182378595,1.9205039999815048
98,0.5504879,T,A,2,0.010950980822985708,side_SE,False,20215.355962932135,30996.708124763252,8.58917566290459,0.12435557417790731
99,0.5507372,T,S,13,0.9947619328152159,main,False,86019.13782613151,53242.004101225655,14.077554897030103,0.32172940001689004
100,0.5539655,T,A,14,0.9980006745567992,main,False,60101.809785368896,71528.0214472506,15.400521144673087,0.45391212737517883
