id,status,category,confidence,U10,gust3s,U_deck,Iu,stationarity,rms_L_max_mm,rms_V_max_mm,rms_Tcw_max_rad,rms_Tg_max_rad,peak_L_mm,peak_V_mm,peak_Tcw_rad,peak_Tg_rad,rms_csv
great_storm_1987,OK,extratropical_storm,C,35.2,50.0,42.975153785863434,0.15,stationary_ok,8460.706911863397,882.9109345786209,0.03041470687567634,0.028732744254539148,23247.419138024976,2672.8831895160224,0.09152052653153081,0.08836019788608382,buffeting_rms_alongspan_great_storm_1987.csv
lothar_1999,OK,extratropical_storm,C,33.0,58.9,40.28920667424698,0.16,stationary_ok,7839.9919505727985,818.6115687832446,0.028178547480874918,0.026736668830013577,21541.96140224197,2479.4467703021114,0.08481947230033852,0.082240579647845,buffeting_rms_alongspan_lothar_1999.csv
bora_adriatic,OK,foehn_bora,C,48.6,69.0,59.335013465709174,0.18,stationary_ok,20303.71141746843,2120.7579805834143,0.07320110406686994,0.07047457067721112,55793.62570172016,6409.694532195008,0.22011987397417337,0.2166771996187212,buffeting_rms_alongspan_bora_adriatic.csv
mistral_strong,OK,foehn_bora,C,28.0,40.0,34.184781420573195,0.16,stationary_ok,5464.326380079878,573.0307804595075,0.01965760443739805,0.01905268748585039,15015.711361346268,1738.1070827244978,0.05924138686586483,0.058661842941533635,buffeting_rms_alongspan_mistral_strong.csv
patagonia_westerlies,OK,extratropical_storm,C,28.0,42.0,34.184781420573195,0.15,stationary_ok,5122.805981324886,537.2163566807881,0.018429004160060672,0.01786189451798474,14077.229401262126,1629.4753900542162,0.05553880018674828,0.05499547775768779,buffeting_rms_alongspan_patagonia_westerlies.csv
xinjiang_baili_fengqu,OK,local_record,A,30.0,60.0,36.6265515220427,0.16,stationary_ok,6361.69622096727,665.1797859771605,0.022875309850476335,0.021977287195655264,17480.957732784525,2016.292180806853,0.06890105394250996,0.06763934693736147,buffeting_rms_alongspan_xinjiang_baili_fengqu.csv
cape_denison_katabatic,OK,katabatic,C,19.4,90.0,23.68516998425428,0.15,stationary_ok,2260.3236017003032,250.54365254875364,0.00830342169250036,0.008283019038862593,6212.778914710001,761.7468970376343,0.025618947996795108,0.02555599447833799,buffeting_rms_alongspan_cape_denison_katabatic.csv
thule_1972_gust,OK,katabatic,C,65.1,92.5,79.47961680283265,0.15,stationary_ok,31174.57667708075,3266.919443811687,0.11297535678975515,0.11096344564615779,85680.34912338629,9869.947725486458,0.3399468555799164,0.34126600421526726,buffeting_rms_alongspan_thule_1972_gust.csv
piteraq_tasiilaq,OK,katabatic,C,45.0,80.0,54.939827283064055,0.16,stationary_ok,15322.902218787774,1598.8090258445216,0.05518411924005219,0.05287329851840292,42105.49682237833,4833.084337635469,0.16594048042212903,0.16256456894055993,buffeting_rms_alongspan_piteraq_tasiilaq.csv
barrow_olivia_1996,OK,local_record,A,48.9,113.2,59.7012789809296,0.12,stationary_ok,13713.462577785745,1432.5144505123021,0.049445635225188654,0.04762278275469293,37684.01904498335,4329.515515264517,0.14868619776348388,0.14641823299494738,buffeting_rms_alongspan_barrow_olivia_1996.csv
mt_washington_1934,OK,local_record,A,72.7,103.3,88.75834318841682,0.15,stationary_ok,39089.50963174307,4099.351327650919,0.14199261635100346,0.14052998912922876,107441.9329078756,12385.861957182029,0.4274864906775361,0.43230742596527993,buffeting_rms_alongspan_mt_washington_1934.csv
