id,type,label,mass_t,sha,coarsen,nodes,elements,n_ropes,y_eq_m,A_eq_mm2,n,n_stations,note,pass,rel,uy_frac,verdict,n_modes,reference_hz,matched_hz,rel_pct,usage,f_hz,family,parity,half_waves,category,confidence,U10,rms_L_max_mm,stationarity
s10,source,S10 V2.0 APDL,4108.46690758,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deck,model,true3d_ccx.inp,,f089dee33377f1ea65ef7ec543525c85e39b323b091d3a5e27e8adfc14f4f242,4.0,5422.0,7477.0,,,,,,,,,,,,,,,,,,,,,,,,
line:MIB,rope_line,MIB,,,,,,8.0,-19.69,11149.35,,,,,,,,,,,,,,,,,,,,,
line:MIG,rope_line,MIG,,,,,,3.0,-19.5,4201.49,,,,,,,,,,,,,,,,,,,,,
line:MOB,rope_line,MOB,,,,,,8.0,-23.21,11149.35,,,,,,,,,,,,,,,,,,,,,
line:MOG,rope_line,MOG,,,,,,3.0,-23.4,4201.49,,,,,,,,,,,,,,,,,,,,,
line:PIB,rope_line,PIB,,,,,,8.0,19.69,11149.35,,,,,,,,,,,,,,,,,,,,,
line:PIG,rope_line,PIG,,,,,,3.0,19.5,4201.49,,,,,,,,,,,,,,,,,,,,,
line:POB,rope_line,POB,,,,,,8.0,23.21,11149.35,,,,,,,,,,,,,,,,,,,,,
line:POG,rope_line,POG,,,,,,3.0,23.4,4201.49,,,,,,,,,,,,,,,,,,,,,
portals,component,142 parametric portals,,,,,,,,,142.0,,,,,,,,,,,,,,,,,,,,
passages,component,passage stations,,,,,,,,,,63.0,63 x-stations = 21 clusters of 3,,,,,,,,,,,,,,,,,,
gate:G-P1,gate,G-P1,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
gate:G-P2,gate,G-P2,,,,,,,,,,,,True,2.3765418143813977e-07,,,,,,,,,,,,,,,,
gate:UY,gate,UY,,,,,,,,,,,,True,,0.01549243821468093,,,,,,,,,,,,,,,
gate:G-P3,gate,G-P3,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,
gate:G-P4,gate,G-P4,,,,,,,,,,,,,,,FAIL_resid_over_W_and_residual_RB,,,,,,,,,,,,,,
family:L,mode_family,L family,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,
family:V,mode_family,V family,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,
family:T,mode_family,T family,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,
event:lanyu_ryan_1995_gust,wind_event,lanyu_ryan_1995_gust,,,,,,,,,,,,,,,,,,,,,,,,,typhoon,C,60.1,21184.096613471527,stationary_ok
event:patricia_2015_peak,wind_event,patricia_2015_peak,,,,,,,,,,,,,,,,,,,,,,,,,hurricane,A,84.1,42101.57369841067,stationary_ok
event:dorian_2019_landfall,wind_event,dorian_2019_landfall,,,,,,,,,,,,,,,,,,,,,,,,,hurricane,C,71.9,30654.017059416376,stationary_ok
event:gustav_2008_cuba_gust,wind_event,gustav_2008_cuba_gust,,,,,,,,,,,,,,,,,,,,,,,,,hurricane,C,66.5,28295.930594804147,stationary_ok
event:amphan_2020_peak,wind_event,amphan_2020_peak,,,,,,,,,,,,,,,,,,,,,,,,,monsoon,A,63.0,23360.50999797306,stationary_ok
event:nargis_2008_peak,wind_event,nargis_2008_peak,,,,,,,,,,,,,,,,,,,,,,,,,monsoon,A,52.4,15897.290897517156,stationary_ok
event:bhola_1970_peak,wind_event,bhola_1970_peak,,,,,,,,,,,,,,,,,,,,,,,,,monsoon,A,49.0,13795.149028646794,stationary_ok
event:ef3_anchor,wind_event,ef3_anchor,,,,,,,,,,,,,,,,,,,,,,,,,tornado,B,47.2,26543.564602204533,reference_only
event:ef4_anchor,wind_event,ef4_anchor,,,,,,,,,,,,,,,,,,,,,,,,,tornado,B,57.7,40539.523443488295,reference_only
event:ef5_anchor,wind_event,ef5_anchor,,,,,,,,,,,,,,,,,,,,,,,,,tornado,B,66.9,55091.0750969051,reference_only
event:funing_2016_ef4,wind_event,funing_2016_ef4,,,,,,,,,,,,,,,,,,,,,,,,,tornado,A,51.8,32324.715186727663,reference_only
event:bridge_creek_1999_ref,wind_event,bridge_creek_1999_ref,,,,,,,,,,,,,,,,,,,,,,,,,tornado,C,95.1,112060.97569005017,reference_only
event:dongfangzhixing_2015_downburst,wind_event,dongfangzhixing_2015_downburst,,,,,,,,,,,,,,,,,,,,,,,,,downburst,A,30.6,9140.303014619663,reference_only
event:andrews_afb_1983_microburst,wind_event,andrews_afb_1983_microburst,,,,,,,,,,,,,,,,,,,,,,,,,downburst,C,46.9,23043.50179324754,reference_only
event:midwest_derecho_2020,wind_event,midwest_derecho_2020,,,,,,,,,,,,,,,,,,,,,,,,,derecho,C,44.1,18369.25212211779,reference_only
event:great_storm_1987,wind_event,great_storm_1987,,,,,,,,,,,,,,,,,,,,,,,,,extratropical_storm,C,35.2,8467.217555581037,stationary_ok
event:lothar_1999,wind_event,lothar_1999,,,,,,,,,,,,,,,,,,,,,,,,,extratropical_storm,C,33.0,7844.765879398785,stationary_ok
event:bora_adriatic,wind_event,bora_adriatic,,,,,,,,,,,,,,,,,,,,,,,,,foehn_bora,C,48.6,20336.01884584928,stationary_ok
event:mistral_strong,wind_event,mistral_strong,,,,,,,,,,,,,,,,,,,,,,,,,foehn_bora,C,28.0,5465.721420712758,stationary_ok
event:patagonia_westerlies,wind_event,patagonia_westerlies,,,,,,,,,,,,,,,,,,,,,,,,,extratropical_storm,C,28.0,5124.11383191821,stationary_ok
event:xinjiang_baili_fengqu,wind_event,xinjiang_baili_fengqu,,,,,,,,,,,,,,,,,,,,,,,,,local_record,A,30.0,6364.1184733133005,stationary_ok
event:cape_denison_katabatic,wind_event,cape_denison_katabatic,,,,,,,,,,,,,,,,,,,,,,,,,katabatic,C,19.4,2260.1995515724107,stationary_ok
event:thule_1972_gust,wind_event,thule_1972_gust,,,,,,,,,,,,,,,,,,,,,,,,,katabatic,C,65.1,31248.240590306053,stationary_ok
