mode,frequency_hz,eigenpair_relative_residual,mode_class,dominant_span,dominant_span_fraction,main_energy_fraction,family,family_fraction_within_main,span_parity,half_wave_order,template_mac,roll_common_dominant,main_L_energy,main_V_energy,main_T_energy,main_sys_z_energy,main_intra_roll_energy,modal_mass_norm,formal_label
21,0.18677581047540726,1.2600635206631057e-11,MAIN,MAIN,0.9999999998824767,0.9999999998824767,V,0.9404716774253808,S,5,0.938852587814978,False,2.0103203547199875e-07,0.9404716773148546,5.627120356939165e-06,4.93682901688656e-06,6.902913400526047e-07,0.9999999999999991,VS3
22,0.19231704370873384,1.539715286308943e-11,SIDE,AUX,0.9996010039246791,5.30893553765246e-13,SIDE,0.9990331710367318,,0,0.0,True,1.2296089336676286e-27,1.8759402461469153e-27,5.132832641815691e-16,4.4156597339419393e-16,7.171729078737514e-17,0.999999999999999,SIDE_AUX
23,0.21395656242696187,1.649394277428292e-11,MAIN,MAIN,0.999999999927854,0.999999999927854,SYSY,0.7889805535138076,,0,0.0,False,2.122424164359951e-10,6.198942328683361e-06,0.19435830354618266,2.7325230260921927e-11,0.19435830351885744,1.0000000000000009,SYSY_MIXED
24,0.2151532991098959,1.1342588708282729e-11,MAIN,MAIN,0.999999999996578,0.999999999996578,L,0.9021756765537743,A,6,0.9783520679580857,True,0.9021756765506861,1.4536306194579367e-09,0.09142872098073207,0.07901919742808816,0.012409523552643903,0.9999999999999988,LA3
25,0.22008867310294777,1.2307280225299559e-11,MAIN,MAIN,0.999999999999927,0.999999999999927,V,0.9449205571727853,A,6,0.9914377934010539,False,1.2247698910447823e-06,0.9449205571727165,1.1055079356610359e-05,8.700423948010606e-06,2.3546554085997532e-06,1.0000000000000004,VA3
26,0.2202997186539549,1.6318087200271127e-11,MAIN,MAIN,0.9999999999998475,0.9999999999998475,T,0.8413009044006943,A,6,0.991194153624728,True,0.11004513852732428,9.97077227335223e-06,0.8413009044005663,0.834231117541914,0.007069786858652136,1.0000000000000007,TA3
27,0.22229247791195578,2.8995177128535606e-11,SIDE,AUX,0.8644564507261125,3.3105502766930673e-10,SIDE,0.9990331119840624,,0,0.0,True,9.10527483855685e-28,7.372593746062655e-21,3.200855136282053e-13,3.1675938921964867e-13,3.3261244085566414e-15,0.9999999999999993,SIDE_AUX
28,0.22278345961901674,2.0293460997420075e-11,SIDE,AUX,0.8594033948783889,3.4065868902200476e-10,SIDE,0.9990330715673472,,0,0.0,False,1.5621550334080997e-28,3.2937116027096923e-13,2.0702502567641908e-20,7.708985888526939e-21,1.2993516679114967e-20,1.0000000000000013,SIDE_AUX
29,0.22722501832875344,1.6561526031254484e-11,MAIN,MAIN,0.9999999999796494,0.9999999999796494,SYSY,0.7775167267892423,,0,0.0,False,6.533635096656501e-11,2.386237578535862e-06,0.21000916460441038,9.159968378016847e-12,0.21000916459525043,0.9999999999999996,SYSY_MIXED
30,0.2429089518779441,1.3726760361501416e-11,SIDE,NORTH,0.9999999999865615,1.3438744585552307e-11,SIDE,0.9983255954106662,,0,0.0,True,1.0741536384625272e-26,1.328269585460988e-23,2.250188767615062e-14,4.346108536639165e-15,1.815577913951146e-14,1.0000000000000002,SIDE_NORTH
