mode,freq,family,symmetry,order_hint,local_gate,share_L,share_V,share_T,side_ratio,r_gate,r_toppost,r_cable_t4,effm_x,effm_y,effm_z,effm_rx,effm_ry,effm_rz
62,0.3322716662054906,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.494244168340567,5.098859330461585e-09,0.003259610816691863,3483.16607247704,7606470560979.507,546.6647036830714
63,0.3330275963023507,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.324779078283101e-06,1.336020095143903e-10,0.0002141701325538873,1.532793925109449,721801134.4739048,11.8688554177637
64,0.334840408562851,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.195840116010244e-06,1.032712385332469e-07,1.034123439784729e-06,322034.6304551521,2656032.459192927,129375766024.4939
65,0.3386081860401657,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.031825038304431e-10,0.3007868757176516,2.579797280649967e-07,85583920748.5107,821800.4695123523,1019846311719.956
66,0.3395377545619887,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.540361309722838e-08,0.001436722451847588,1.379172055795323e-10,6078143797.776058,8699.223303786423,402201006911.0488
67,0.3396365337592413,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.951682761870229e-08,1.318812216312737e-06,0.002340392400722534,419102.997271891,8053602910.448415,3331672.587529808
68,0.3453193622199217,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.961521189742009e-11,53.23501322482779,3.36267890265228e-10,2814704019975.397,4289.171400518338,602015468767645.8
69,0.3473534898839861,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.718219566372497,5.891585930645887e-09,67.7344581899979,668.8484779631978,755012285715967.0,65859.71139589394
70,0.3508042756842583,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.703340205060071e-09,0.3704998191302891,4.511833039264659e-08,46020913130.28617,4813.590482131939,203517684637.2136
71,0.354343098900095,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.250781537045616e-08,2.119171717369652,7.426890393469002e-08,269405508224.6759,790215.3698800037,24671444794351.03
72,0.3617837678199963,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.439708856536542e-08,0.09083970109702436,8.087151451803488e-08,11173387493.41152,1359801.317209582,350068619157.9327
73,0.3651436296793941,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.187883401630291e-06,0.0001156909740679024,3.174381831306277e-10,12290112.177653,8915523.293818017,21145877826122.72
74,0.3673135902668787,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.57427366485397,1.451384032174627e-09,0.0003547973890913232,190.2509004956871,20332656604725.54,7450723.489108375
75,0.3674039299831116,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.03114158581213081,2.265289408494189e-08,6.675915089258352e-07,3564.669685856403,51806220749.3962,2469940.545854353
76,0.3687349604111809,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.247149647754211e-07,50.30133323178272,1.590958486160054e-06,1961838451821.093,348194.5886952088,7160539969197.233
77,0.3714252057539257,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.47424453180405,2.437384588202897e-06,53.65006640536961,122316.0148707632,11624867925648.64,322021.9057362006
78,0.375011116163924,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.399704164077376e-07,1.100740248245586e-05,1.347681334509616e-09,2431587.041173657,507114.888657551,302220764614.3831
79,0.379944937747518,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.431690285697659e-07,1.674982825463591,4.08320270282146e-06,177217113082.2384,832306.3953013627,176739779033.0087
80,0.386170104274827,SIDE,NA,SIDE,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.8268464693796e-06,0.0009770446689050401,1.029559597403038e-07,112253927.5848505,550.2680506054552,116360438155.9166
