id,category,stationarity,U10,Iu,truth_L_mm,pred_L_mm,rel_L_mm,truth_V_mm,pred_V_mm,rel_V_mm,truth_Tcw_rad,pred_Tcw_rad,rel_Tcw_rad,truth_Tg_rad,pred_Tg_rad,rel_Tg_rad,rel_max_abs
gustav_2008_cuba_gust,hurricane,stationary_ok,66.5,0.13,28227.705756006224,28415.224927792588,0.006643089360759108,2958.566044632879,2978.237954333379,0.006649136576209599,0.1023424923455496,0.10305068945563013,0.006919873591600409,0.1006693990524155,0.1014344394870086,0.00759953314308326,0.00759953314308326
amphan_2020_peak,monsoon,stationary_ok,63.5,0.12,23691.35378475036,23900.33724293459,0.008821085535379917,2482.219669343067,2504.1146978368624,0.008820745707647279,0.0858154201644915,0.086602906436367,0.009176512453892947,0.0841358755439529,0.08498970845389468,0.01014826201571697,0.01014826201571697
nargis_2008_peak,monsoon,stationary_ok,52.4,0.12,15868.835847355904,16020.311435396958,0.009545475767606046,1659.165444405896,1675.1881013333036,0.009657057999508193,0.0572751917519022,0.05784494563500783,0.009947655619794708,0.0554149409205235,0.05602569159385461,0.01102140800270904,0.01102140800270904
bhola_1970_peak,monsoon,stationary_ok,49.0,0.12,13772.930901233463,13828.521453527763,0.004036218049225883,1438.766235908247,1444.6507717174472,0.004089987422790469,0.0496615253497331,0.04986922474170362,0.004182299889256895,0.04783701887526,0.04805985578845909,0.0046582525090068895,0.0046582525090068895
ef3_anchor,tornado,reference_only,47.2,0.25,26503.46443617134,26590.275907540585,0.0032754763656771776,2767.2241281520005,2776.7117034753974,0.003428553266385702,0.0955131213469427,0.09583668798883027,0.003387666922874836,0.0917846863357976,0.09212557091528302,0.003713959191822904,0.003713959191822904
ef4_anchor,tornado,reference_only,57.7,0.25,40456.61415727176,40493.59423054927,0.0009140674287213981,4234.753421145713,4238.656489888035,0.0009216755626980389,0.1462728827010129,0.1464118479739823,0.0009500412544233374,0.1424403077342937,0.14258963308069977,0.0010483363086004121,0.0010483363086004121
ef5_anchor,tornado,reference_only,66.9,0.25,54957.4140034863,55291.635864886644,0.006081469942875066,5760.360531365087,5795.444022865928,0.006090502722843773,0.1992794773235559,0.20054129360686973,0.006331892778226844,0.1961034079551306,0.1974668080720993,0.00695245498885288,0.00695245498885288
funing_2016_ef4,tornado,reference_only,51.8,0.25,32267.85100562847,32569.843683350577,0.009358933685092063,3373.2717612067304,3405.218839928749,0.00947065074608454,0.1164440826101031,0.11757805307784569,0.009738326262052628,0.1125755684312555,0.11379157471560561,0.010801689045813358,0.010801689045813358
bridge_creek_1999_ref,tornado,reference_only,95.1,0.25,111698.6284825567,112222.86997903648,0.004693356611461408,11718.658578187176,11770.64594618925,0.004436290011797231,0.4115320958467903,0.41361929251857554,0.005071771297668838,0.4105194250006947,0.41260147730246294,0.005071750993913867,0.005071771297668838
dongfangzhixing_2015_downburst,downburst,reference_only,30.6,0.22,9136.430295659038,9214.572746807034,0.008552842698873749,954.8994670904256,963.6537146388162,0.009167716445653434,0.0328492040320845,0.03313060591653025,0.008566474979755835,0.0314788771719858,0.03170052664213591,0.007041212713500392,0.009167716445653434
andrews_afb_1983_microburst,downburst,reference_only,46.9,0.22,23009.08029925581,23110.31817603996,0.00439990975160469,2402.1638149062364,2413.2397597997506,0.00461081997188708,0.0829125738826188,0.08329003813719471,0.004552557433692682,0.079644091756393,0.08004152881063546,0.004990163682927003,0.004990163682927003
