category,event_count,station,response,unit,category_aggregation,maximum_sigma,maximum_sigma_case_id,maximum_mean_plus_3p5sigma,maximum_mean_plus_case_id,minimum_mean_minus_3p5sigma,minimum_mean_minus_case_id,reference_only_event_count
tornado,5,L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,21.713212793457842,I08-bridge_creek_1999_ref-S20260805,79.28009938295675,I08-bridge_creek_1999_ref-S20260805,-72.71239017124815,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,L/2,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,11.535862510220817,I08-bridge_creek_1999_ref-S20260805,45.219453904609544,I08-bridge_creek_1999_ref-S20260805,-35.531583666936164,I08-bridge_creek_1999_ref-S20260805,5
tornado,5,3L/4,system_roll_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,21.966355155645868,I08-bridge_creek_1999_ref-S20260805,80.17321117458377,I08-bridge_creek_1999_ref-S20260805,-73.59127491493732,I08-bridge_creek_1999_ref-S20260805,5
downburst,2,L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,98.61602516196074,I08-andrews_afb_1983_microburst-S20260805,403.6737255216262,I08-andrews_afb_1983_microburst-S20260805,-286.638450612099,I08-andrews_afb_1983_microburst-S20260805,2
downburst,2,L/2,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,138.64010427915525,I08-andrews_afb_1983_microburst-S20260805,563.0676189989804,I08-andrews_afb_1983_microburst-S20260805,-407.41311095510645,I08-andrews_afb_1983_microburst-S20260805,2
downburst,2,3L/4,lateral_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,98.32880621123043,I08-andrews_afb_1983_microburst-S20260805,402.6670568597207,I08-andrews_afb_1983_microburst-S20260805,-285.6345866188923,I08-andrews_afb_1983_microburst-S20260805,2
downburst,2,L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.809567543311212,I08-andrews_afb_1983_microburst-S20260805,23.546830317303506,I08-andrews_afb_1983_microburst-S20260805,-24.120142485874982,I08-andrews_afb_1983_microburst-S20260805,2
downburst,2,L/2,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,4.213407511195924,I08-andrews_afb_1983_microburst-S20260805,14.35508677883537,I08-andrews_afb_1983_microburst-S20260805,-15.138765799536097,I08-andrews_afb_1983_microburst-S20260805,2
downburst,2,3L/4,vertical_common_m,m,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,6.846503001975517,I08-andrews_afb_1983_microburst-S20260805,23.676098262687855,I08-andrews_afb_1983_microburst-S20260805,-24.24942275114076,I08-andrews_afb_1983_microburst-S20260805,2
downburst,2,L/4,local_roll_L_deg,deg,DESCRIPTIVE_EVENT_ENVELOPE_NOT_PROBABILISTIC_AVERAGE,8.695848352939736,I08-andrews_afb_1983_microburst-S20260805,38.91228666397737,I08-andrews_afb_1983_microburst-S20260805,-21.958651806600784,I08-andrews_afb_1983_microburst-S20260805,2
