passage_index,passage_id,span,gate_index,catwalk,gate_name,subsystem,mct_node,family,rope_index,ansys_rope_node,rope_x_mm,rope_y_mm,rope_z_mm,beam_axis_x_mm,beam_axis_y_mm,beam_axis_z_mm,rigid_offset_z_mm,surface_gap_mm,original_mass21_element_id,original_mass21_real_id,original_combined_mass_tonne
2,H02,north_side,6,2,CW2_GATE_06,gate,1033,GANTRY_PHI54,1,25699,19240.0,374918.30000000005,190318.383196477,19240.0,374913.6499999999,190425.383196477,107.0,0.0,522607,200006,0.3663743286423279
2,H02,north_side,6,2,CW2_GATE_06,gate,1033,GANTRY_PHI54,2,26094,19500.0,374918.30000000005,190318.383196477,19500.0,374913.6499999999,190425.383196477,107.0,0.0,522678,200006,0.3663743286423279
2,H02,north_side,6,2,CW2_GATE_06,gate,1033,GANTRY_PHI54,3,26489,19760.0,374918.30000000005,190318.383196477,19760.0,374913.6499999999,190425.383196477,107.0,0.0,522749,200006,0.3663743286423279
2,H02,north_side,6,2,CW2_GATE_06,gate,1033,GANTRY_PHI54,4,26884,23140.0,374918.30000000005,190318.383196477,23140.0,374913.6499999999,190425.383196477,107.0,0.0,522820,200006,0.3663743286423279
2,H02,north_side,6,2,CW2_GATE_06,gate,1033,GANTRY_PHI54,5,27279,23400.0,374918.30000000005,190318.383196477,23400.0,374913.6499999999,190425.383196477,107.0,0.0,522891,200006,0.3663743286423279
2,H02,north_side,6,2,CW2_GATE_06,gate,1033,GANTRY_PHI54,6,27674,23660.0,374918.30000000005,190318.383196477,23660.0,374913.6499999999,190425.383196477,107.0,0.0,522962,200006,0.3663743286423279
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,1,120,-24120.0,545909.0,261294.046462196,-24120.0,545913.6499999999,261406.546462196,112.5,0.0,500112,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,2,848,-23860.0,545909.0,261294.046462196,-23860.0,545913.6499999999,261406.546462196,112.5,0.0,500805,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,3,1576,-23600.0,545909.0,261294.046462196,-23600.0,545913.6499999999,261406.546462196,112.5,0.0,501498,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,4,2304,-23340.0,545909.0,261294.046462196,-23340.0,545913.6499999999,261406.546462196,112.5,0.0,502191,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,5,3032,-23080.0,545909.0,261294.046462196,-23080.0,545913.6499999999,261406.546462196,112.5,0.0,502884,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,6,3760,-22820.0,545909.0,261294.046462196,-22820.0,545913.6499999999,261406.546462196,112.5,0.0,503577,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,7,4488,-22560.0,545909.0,261294.046462196,-22560.0,545913.6499999999,261406.546462196,112.5,0.0,504270,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,8,5216,-22300.0,545909.0,261294.046462196,-22300.0,545913.6499999999,261406.546462196,112.5,0.0,504963,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,9,5944,-20600.0,545909.0,261294.046462196,-20600.0,545913.6499999999,261406.546462196,112.5,0.0,505656,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,10,6672,-20340.0,545909.0,261294.046462196,-20340.0,545913.6499999999,261406.546462196,112.5,0.0,506349,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,11,7400,-20080.0,545909.0,261294.046462196,-20080.0,545913.6499999999,261406.546462196,112.5,0.0,507042,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,12,8128,-19820.0,545909.0,261294.046462196,-19820.0,545913.6499999999,261406.546462196,112.5,0.0,507735,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,13,8856,-19560.0,545909.0,261294.046462196,-19560.0,545913.6499999999,261406.546462196,112.5,0.0,508428,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,14,9584,-19300.0,545909.0,261294.046462196,-19300.0,545913.6499999999,261406.546462196,112.5,0.0,509121,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,15,10312,-19040.0,545909.0,261294.046462196,-19040.0,545913.6499999999,261406.546462196,112.5,0.0,509814,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,bottom,120,BOTTOM_PHI50,16,11040,-18780.0,545909.0,261294.046462196,-18780.0,545913.6499999999,261406.546462196,112.5,0.0,510507,200013,0.4469202529063838
3,H03,north_side,9,1,CW1_GATE_09,gate,1048,GANTRY_PHI54,1,11696,-23660.0,545918.3,269621.777313957,-23660.0,545913.6499999999,269728.777313957,107.0,0.0,511096,200006,0.3663743286423279
3,H03,north_side,9,1,CW1_GATE_09,gate,1048,GANTRY_PHI54,2,12091,-23400.0,545918.3,269621.777313957,-23400.0,545913.6499999999,269728.777313957,107.0,0.0,511167,200006,0.3663743286423279
3,H03,north_side,9,1,CW1_GATE_09,gate,1048,GANTRY_PHI54,3,12486,-23140.0,545918.3,269621.777313957,-23140.0,545913.6499999999,269728.777313957,107.0,0.0,511238,200006,0.3663743286423279
3,H03,north_side,9,1,CW1_GATE_09,gate,1048,GANTRY_PHI54,4,12881,-19760.0,545918.3,269621.777313957,-19760.0,545913.6499999999,269728.777313957,107.0,0.0,511309,200006,0.3663743286423279
3,H03,north_side,9,1,CW1_GATE_09,gate,1048,GANTRY_PHI54,5,13276,-19500.0,545918.3,269621.777313957,-19500.0,545913.6499999999,269728.777313957,107.0,0.0,511380,200006,0.3663743286423279
3,H03,north_side,9,1,CW1_GATE_09,gate,1048,GANTRY_PHI54,6,13671,-19240.0,545918.3,269621.777313957,-19240.0,545913.6499999999,269728.777313957,107.0,0.0,511451,200006,0.3663743286423279
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,1,14138,18780.0,545909.0,261294.046462196,18780.0,545913.6499999999,261406.546462196,112.5,0.0,511626,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,2,14866,19040.0,545909.0,261294.046462196,19040.0,545913.6499999999,261406.546462196,112.5,0.0,512319,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,3,15594,19300.0,545909.0,261294.046462196,19300.0,545913.6499999999,261406.546462196,112.5,0.0,513012,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,4,16322,19560.0,545909.0,261294.046462196,19560.0,545913.6499999999,261406.546462196,112.5,0.0,513705,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,5,17050,19820.0,545909.0,261294.046462196,19820.0,545913.6499999999,261406.546462196,112.5,0.0,514398,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,6,17778,20080.0,545909.0,261294.046462196,20080.0,545913.6499999999,261406.546462196,112.5,0.0,515091,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,7,18506,20340.0,545909.0,261294.046462196,20340.0,545913.6499999999,261406.546462196,112.5,0.0,515784,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,8,19234,20600.0,545909.0,261294.046462196,20600.0,545913.6499999999,261406.546462196,112.5,0.0,516477,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,9,19962,22300.0,545909.0,261294.046462196,22300.0,545913.6499999999,261406.546462196,112.5,0.0,517170,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,10,20690,22560.0,545909.0,261294.046462196,22560.0,545913.6499999999,261406.546462196,112.5,0.0,517863,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,11,21418,22820.0,545909.0,261294.046462196,22820.0,545913.6499999999,261406.546462196,112.5,0.0,518556,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,12,22146,23080.0,545909.0,261294.046462196,23080.0,545913.6499999999,261406.546462196,112.5,0.0,519249,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,13,22874,23340.0,545909.0,261294.046462196,23340.0,545913.6499999999,261406.546462196,112.5,0.0,519942,200013,0.4469202529063838
3,H03,north_side,9,2,CW2_GATE_09,bottom,120,BOTTOM_PHI50,14,23602,23600.0,545909.0,261294.046462196,23600.0,545913.6499999999,261406.546462196,112.5,0.0,520635,200013,0.4469202529063838
